Index,Cubic Form F,Non-Conical,Reduced,Irreducible,Singular Dim,Singular Deg,Dual Deg,Dual Is Hypersurface
43,x0^3 + x0^2*x1 + x0*x1*x2 + x3*x4*x5,True,True,True,1,6,6,True
60,x0^3 + x0^2*x1 + x0*x2^2 + x3*x4*x5,True,True,True,1,9,4,True
70,x0^3 + x0^2*x1 + x0*x2*x3 + x1*x4*x5,True,True,True,1,6,8,True
76,x0^3 + x0^2*x1 + x0*x2*x3 + x2*x4*x5,True,True,True,2,2,3,True
78,x0^3 + x0^2*x1 + x0*x2*x3 + x4^2*x5,True,True,True,2,2,4,True
95,x0^3 + x0^2*x1 + x1^2*x2 + x3*x4*x5,True,True,True,1,6,6,True
105,x0^3 + x0^2*x1 + x1*x2^2 + x3*x4*x5,True,True,True,1,3,9,True
107,x0^3 + x0^2*x1 + x1*x2*x3 + x1*x4*x5,True,True,True,2,4,4,True
113,x0^3 + x0^2*x1 + x1*x2*x3 + x2*x4*x5,True,True,True,2,2,5,True
115,x0^3 + x0^2*x1 + x1*x2*x3 + x4^2*x5,True,True,True,1,5,9,True
121,x0^3 + x0^2*x1 + x2^3 + x3*x4*x5,True,True,True,1,6,6,True
126,x0^3 + x0^2*x1 + x2^2*x3 + x2*x4*x5,True,True,True,2,2,4,True
128,x0^3 + x0^2*x1 + x2^2*x3 + x3*x4*x5,True,True,True,2,2,3,True
129,x0^3 + x0^2*x1 + x2^2*x3 + x4^2*x5,True,True,True,2,1,6,True
148,x0^3 + x0*x1^2 + x0*x1*x2 + x3*x4*x5,True,True,True,1,6,6,True
158,x0^3 + x0*x1^2 + x0*x2^2 + x3*x4*x5,True,True,True,1,6,6,True
167,x0^3 + x0*x1^2 + x0*x2*x3 + x1*x4*x5,True,True,True,1,6,8,True
173,x0^3 + x0*x1^2 + x0*x2*x3 + x2*x4*x5,True,True,True,1,10,4,True
175,x0^3 + x0*x1^2 + x0*x2*x3 + x4^2*x5,True,True,True,2,2,6,True
187,x0^3 + x0*x1^2 + x1^2*x2 + x3*x4*x5,True,True,True,1,6,6,True
196,x0^3 + x0*x1^2 + x1*x2^2 + x3*x4*x5,True,True,True,0,24,12,True
198,x0^3 + x0*x1^2 + x1*x2*x3 + x1*x4*x5,True,True,True,2,4,6,True
204,x0^3 + x0*x1^2 + x1*x2*x3 + x2*x4*x5,True,True,True,1,8,9,True
206,x0^3 + x0*x1^2 + x1*x2*x3 + x4^2*x5,True,True,True,1,4,12,True
211,x0^3 + x0*x1^2 + x2^3 + x3*x4*x5,True,True,True,0,24,12,True
216,x0^3 + x0*x1^2 + x2^2*x3 + x2*x4*x5,True,True,True,1,8,8,True
