Index,Cubic Form F,Non-Conical,Reduced,Irreducible,Singular Dim,Singular Deg,Dual Deg,Dual Is Hypersurface
31,x0^3 + x0*x1*x2 + x3*x4*x5,True,True,True,1,6,6,True
43,x0^3 + x1^2*x2 + x3*x4*x5,True,True,True,1,6,6,True
45,x0^3 + x1*x2*x3 + x1*x4*x5,True,True,True,2,4,3,True
78,x0^2*x1 + x0*x1*x2 + x3*x4*x5,True,True,True,1,9,3,True
88,x0^2*x1 + x0*x2^2 + x3*x4*x5,True,True,True,1,9,4,True
95,x0^2*x1 + x0*x2*x3 + x1*x4*x5,True,True,True,1,8,4,True
99,x0^2*x1 + x0*x2*x3 + x2*x4*x5,True,True,True,2,2,3,True
100,x0^2*x1 + x0*x2*x3 + x4^2*x5,True,True,True,2,2,4,True
104,x0^2*x1 + x1*x2^2 + x3*x4*x5,True,True,True,1,9,3,True
109,x0^2*x1 + x1*x2*x3 + x2*x4*x5,True,True,True,2,2,4,False
110,x0^2*x1 + x1*x2*x3 + x4^2*x5,True,True,True,2,2,3,True
111,x0^2*x1 + x2^2*x3 + x4^2*x5,True,True,True,2,1,6,True
118,x0*x1*x2 + x0*x1*x3 + x2*x4*x5,True,True,True,1,9,3,True
119,x0*x1*x2 + x0*x3*x4 + x1*x3*x5,True,True,True,2,1,3,True
