Index,Monomial
0,x0^3
1,x0^2*x1
2,x0^2*x2
3,x0^2*x3
4,x0^2*x4
5,x0^2*x5
6,x0*x1^2
7,x0*x1*x2
8,x0*x1*x3
9,x0*x1*x4
10,x0*x1*x5
11,x0*x2^2
12,x0*x2*x3
13,x0*x2*x4
14,x0*x2*x5
15,x0*x3^2
16,x0*x3*x4
17,x0*x3*x5
18,x0*x4^2
19,x0*x4*x5
20,x0*x5^2
21,x1^3
22,x1^2*x2
23,x1^2*x3
24,x1^2*x4
25,x1^2*x5
26,x1*x2^2
27,x1*x2*x3
28,x1*x2*x4
29,x1*x2*x5
30,x1*x3^2
31,x1*x3*x4
32,x1*x3*x5
33,x1*x4^2
34,x1*x4*x5
35,x1*x5^2
36,x2^3
37,x2^2*x3
38,x2^2*x4
39,x2^2*x5
40,x2*x3^2
41,x2*x3*x4
42,x2*x3*x5
43,x2*x4^2
44,x2*x4*x5
45,x2*x5^2
46,x3^3
47,x3^2*x4
48,x3^2*x5
49,x3*x4^2
50,x3*x4*x5
51,x3*x5^2
52,x4^3
53,x4^2*x5
54,x4*x5^2
55,x5^3
